id,name,description,website,support_page,partner,partner_id,created_at,updated_at
1,111616 OPERATIONS,spain,stuff.com,support.stuff.com,false,13223,2013-09-18 15:37:55 UTC,2013-09-18 15:59:31 UTC
2,53 A SPECIAL ORDER SKUS,,,,,,,
3,ABSOLUTE SOFTWARE CORP,,,,,,,
4,ACCO CANADA,,,,,,,
5,ACER AMERICA CORPORATION,,,,,,,
6,ACRONIS INT GMBH,,,,,,,
7,ALERATEC INC,,,,,,,
8,ALLIED TELESIS INC,,,,,,,
9,AMX CANADA,,,,,,,
10,APRICORN INC,,,,,,,
11,ATTO TECHNOLOGY INC,,,,,,,
12,AUTODESK,,,,,,,
13,AVAYA CANADA CORP,,,,,,,
14,AVAYA INC,,,,,,,
15,AXIOM MEMORY SOLUTIONS,,,,,,,
16,BELKIN LOGISTICS INC,,,,,,,
17,BENQ CANADA CORP,,,,,,,
18,BRETFORD INC,,,,,,,
19,BROCADE COMM.SWITZ SARL,,,,,,,
20,BROTHER INTERNATIONAL,,,,,,,
21,BUFFALO TECHNOLOGY (USA),,,,,,,
22,CABLES TO GO,,,,,,,
23,CANON CANADA INC,,,,,,,
24,CASTELLE,,,,,,,
25,CHECK POINT SOFTWARE,,,,,,,
26,CISCO CONSUMER PROD LLC,,,,,,,
27,CISCO SYSTEMS CANADA LTD,,,,,,,
28,COMPUTER ASSOCIATES,,,,,,,
29,CONDUSIV TECHNOLOGIES,,,,,,,
30,COREL CORPORATION,,,,,,,
31,D-LINK CANADA INC,,,,,,,,
32,DA-LITE,,,,,,,
33,DIALOGIC,,,,,,,
34,DIGI INTERNATIONAL INC,,,,,,,
35,DRAPER INC,,,,,,,
36,EATON INDUSTRIES (CANADA),,,,,,,
37,EGAN TEAMBOARD INC,,,,,,,
38,EIZO INC,,,,,,,
39,EMC CORPORATION,,,,,,,
40,EMC CORPORATION OF CANADA,,,,,,,
41,EMULEX CORPORATION,,,,,,,
42,ENTERASYS NETWORKS &,,,,,,,
43,ERGOTRON INC,,,,,,,
44,EXTREME NETWORKS INC,,,,,,,
45,FILEMAKER INC,,,,,,,
46,FORTINET INC,,,,,,,
47,FREEDOM9 INC,,,,,,,
48,FUJITSU CANADA INC,,,,,,,
49,FUJITSU CANADA INC,,,,,,,
50,FUSION MULTISYSTEMS INC,,,,,,,
51,G.B.T INC,,,,,,,
52,GRIFFIN TECHNOLOGY INC,,,,,,,
53,HEWLETT PACKARD CANADA,,,,,,,
54,HITACHI AMERICA LTD,,,,,,,
55,I/O MAGIC CORPORATION,,,,,,,
56,IBM CANADA LTD,,,,,,,
57,IBM SERVICES,,,,,,,
58,IMATION CANADA INC,,,,,,,
59,INFOCUS SYSTEMS CORP,,,,,,,
60,INTEL CORPORATION,,,,,,,
61,IOGEAR INC,,,,,,,
62,IPSWITCH INC,,,,,,,
63,JAMF SOFTWARE,,,,,,,
64,JDSU,,,,,,,
65,KASPERSKY LAB INC,,,,,,,
66,KEYWEST TECHNOLOGY INC,,,,,,,
67,KINGSTON,,,,,,,
68,KINGSTON DIGITAL INC,,,,,,,
69,KRAMER ELECT CANADA LTD,,,,,,,
70,LANDESK SOFTWARE INC,,,,,,,
71,LANTRONIX INC,,,,,,,
72,LENOVO,,http://www.lenovo.com/ca/en/index.html,http://support.lenovo.com/en_CA/,,,,
73,LENOVO (UNITED STATES)INC,,http://lenovo.com/us/en/#ss,http://support.lenovo.com/en_US/,,,,
74,LEXMARK CANADA INC,,,,,,,
75,LG ELECTRONICS CANADA INC,,,,,,,
76,LIEBERT CANADA- DIVISION,,,,,,,
77,LOGITECH INC,,,,,,,
78,LOGITECH INC,,,,,,,
79,MAXELL CANADA,,,,,,,
80,MCAFEE IRELAND LTD,,,,,,,
81,MELLANOX TECHNOLOGIES INC,,,,,,,
82,MELLANOX TECHNOLOGIES LTD,,,,,,,
83,MICRO CHANNEL MANT INC,,,,,,,
84,MICROSOFT,,,,,,,
85,MICROSOFT CORPORATION,,,,,,,
86,MICROSOFT CORPORATION-FPP,,,,,,,
87,MICROSOFT LICENSING GP,,,,,,,
88,MICROSOFT OEM,,,,,,,
89,MILESTONE AV TECHNOLOGIES,,,,,,,
90,MITSUBISHI ELECTRIC SALE,,,,,,,
91,MOBILE EDGE,,,,,,,
92,NEC DISPLAY SOLUTION OF,,,,,,,
93,NETGEAR INC,,,,,,,
94,NETIQ CORPORATION,,,,,,,
95,NOVELL CORPORATION (CDN),,,,,,,
96,NUANCE,,,,,,,
97,OKIDATA AMERICAS INC,,,,,,,
98,OKIDATA CANADA,,,,,,,
99,OPTOMA TECHNOLOGY INC,,,,,,,
100,ORACLE CANADA ULC,,,,,,,
101,OVERLAND DATA INC,,,,,,,
102,PANASONIC CANADA INC,,,,,,,
103,PANASONIC CANADA INC,,,,,,,
104,PARALLELS INC,,,,,,,,
105,PEERLESS AV,,,,,,,
106,PHYBRIDGE INC,,,,,,,
107,PLANAR SYSTEMS INC,,,,,,,
108,PNY ELECTRONICS INC,,,,,,,
109,PREMIER MOUNTS,,,,,,,
110,PROMISE TECHNOLOGY INC,,,,,,,
111,QLOGIC CORPORATION,,,,,,,
112,QLOGIC CORPROATION,,,,,,,
113,QUALITY COMPUTERS,,,,,,,
114,QUANTUM CORPORATION,,,,,,,
115,QUATECH INC,,,,,,,
116,R3,,,,,,,
117,RARITAN COMPUTER INC,,,,,,,
118,RED HAT CANADA LTD,,,,,,,
119,RICOH CANADA INC,,,,,,,
120,ROGERS COMMUNICATIONS INC,,,,,,,
121,SAMSUNG ELECT. CANADA,,,,,,,
122,SAMSUNG ELECT.CANADA,,,,,,,
123,SAP CANADA INC,,,,,,,
124,SCHNEIDER ELECTRIC IT COR,,,,,,,
125,SCIENTIFIC ATLANTA,,,,,,,
126,SCREENSCAPE NETWORKS INC,,,,,,,
127,SHORETEL INC,,,,,,,
128,SIIG INC,,,,,,,
129,SOLARWINDS,,,,,,,
130,SONICWALL INC,,,,,,,
131,SONY OF CANADA,,,,,,,
132,SONY OF CANADA LTD.,,,,,,,
133,STARTECH.COM LTD.,,,,,,,
134,SUPER MICRO COMPUTER INC,,,,,,,
135,SUPERCOM,,,,,,,
136,SYMANTEC CORP,,,,,,,
137,SYMANTEC CORPORATION,,,,,,,
138,TARGUS CANADA,,,,,,,
139,TECH DATA CORPORATION,,,,,,,
140,TECH DATA MISC CDN,,,,,,,
141,TOSHIBA CANADA,,,,,,,
142,TOSHIBA OF CANADA LTD,,,,,,,
143,TOTAL DEFENSE INC,,,,,,,
144,TRANSITION NETWORKS,,,,,,,
145,TREND MICRO INCORPORATED,,,,,,,
146,TRIPP-LITE MFG. OF CAN,,,,,,,
147,U.S. ROBOTICS CORP.,,,,,,,
148,VASCO DATA SECURITY INC,,,,,,,
149,VERBATIM,,,,,,,
150,VIEWSONIC CORPORATION,,,,,,,
151,VISION SOLUTIONS INC,,,,,,,
152,VMWARE INTERNATIONAL LTD.,,,,,,,
153,WATCHGUARD TECHNOLOGIES,,,,,,,
154,WYSE TECHNOLOGY,,,,,,,
155,WYSE TECHNOLOGY L.L.C,,,,,,,
156,XEROX CANADA INC,,,,,,,
157,XEROX CANADA LTD,,,,,,,
158,ZAGG INC,,,,,,,
159,ZYXEL COMMUNICATIONS CORP,,,,,,,
160,ZYXEL COMMUNICATIONS INC,,,,,,,
